feature,importance
skill_overlap_pct,0.9306379087869477
experience_level_match,0.7995719222164818
portfolio_relevance,0.225900624551893
language_match,0.1972044670471604
recency_score,0.18683142985615184
rate_in_budget,0.17719241003247233
speciality_match,0.169976506348829
skill_depth,0.13615684114548965
rate_ratio,-0.11892044357463129
exp_delta,-0.0561305475865373
cosine_sim,0.03580155693079837
work_exp_count,-0.024115669380612794
skill_preferred_pct,0.02323002715474233
skill_required_matched,-0.022555681151462958
domain_match,0.01564870840461663
skill_required_total,0.010183870946356576
has_portfolio,0.007992159440549615
total_jobs,0.0012344922508754708
